"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GMNN2",1.46180585127148e-47,0.823867943404522,0.813,0.388,2.02796325746893e-43,"S","GMNN"
"RAD51",3.71386779299308e-47,0.439305262131091,0.374,0.076,5.1522487892193e-43,"S","RAD51"
"MCM5",1.04574292525311e-46,0.586116354130124,0.489,0.132,1.45075916020364e-42,"S","MCM5"
"SLBP1",1.23542819439734e-45,0.856531076811722,0.79,0.391,1.71390953408743e-41,"S","SLBP"
"CHAF1A",3.13024571595269e-44,0.447474082328397,0.42,0.101,4.34258988174116e-40,"S","CHAF1A"
"TYMS1",1.86433627341822e-43,0.811204467583644,0.881,0.506,2.58639371211309e-39,"S","TYMS"
"FEN11",2.46215976398811e-43,0.626563884960898,0.584,0.201,3.41575424058071e-39,"S","FEN1"
"DUT1",4.92684136477446e-43,0.781630937525922,0.986,0.891,6.83500702535161e-39,"S","DUT"
"TK11",4.62830384968651e-42,0.7349978515133,0.721,0.297,6.42084593067009e-38,"S","TK1"
"MCM6",9.27735435088034e-40,0.467053123963497,0.434,0.118,1.28704736909763e-35,"S","MCM6"
"PTMA3",1.03817723259978e-38,0.528306999355303,1,0.998,1.44026327478568e-34,"S","PTMA"
"ORC62",2.01663209602644e-37,0.5594484996144,0.553,0.195,2.79767370681748e-33,"S","ORC6"
"RFC21",1.09420781312458e-36,0.476508399351228,0.58,0.208,1.51799449914773e-32,"S","RFC2"
"CENPU2",1.50301855995697e-36,0.548591871250463,0.557,0.197,2.0851376482283e-32,"S","CENPU"
"MCM10",2.65425732173215e-36,0.335886197306204,0.283,0.056,3.68225118243901e-32,"S","MCM10"
"KIAA01012",9.77840105952893e-36,0.788919881079931,0.904,0.535,1.35655757898845e-31,"S","KIAA0101"
"HELLS1",4.02589609014371e-35,0.497989918936111,0.461,0.147,5.58512564585637e-31,"S","HELLS"
"RMI21",4.41841886621716e-35,0.524987893047639,0.479,0.158,6.12967249310306e-31,"S","RMI2"
"GGCT1",9.12373443030685e-33,0.604635342316444,0.84,0.5,1.26573567751647e-28,"S","GGCT"
"DNAJC91",1.8931089257115e-32,0.595087820406768,0.689,0.317,2.62631001263956e-28,"S","DNAJC9"
"CDC451",2.64153547163517e-32,0.37873386148613,0.361,0.097,3.66460215979947e-28,"S","CDC45"
"CCNE1",2.07959225410486e-31,0.254053137586497,0.21,0.036,2.88501833411967e-27,"S","CCNE1"
"USP11",2.75656571091055e-31,0.632870909312073,0.685,0.338,3.82418361074621e-27,"S","USP1"
"C19orf481",2.93590896796255e-31,0.54697992131641,0.534,0.216,4.07298651125445e-27,"S","C19orf48"
"RRM22",4.16727723243123e-31,0.73702336946299,0.626,0.271,5.78126370455185e-27,"S","RRM2"
"SRSF71",1.28835726146848e-30,0.660500184029945,0.922,0.666,1.78733802883523e-26,"S","SRSF7"
"ASF1B1",1.48363670851057e-29,0.394252037581868,0.411,0.13,2.05824920571671e-25,"S","ASF1B"
"UBE2T2",3.52654387306255e-29,0.550754160037148,0.699,0.319,4.89237431509967e-25,"S","UBE2T"
"PSMC3IP1",1.74989212704448e-27,0.396295056123539,0.37,0.116,2.42762534784881e-23,"S","PSMC3IP"
"DNMT11",3.64127367494994e-27,0.548867780005657,0.699,0.374,5.05153896925805e-23,"S","DNMT1"
"DCTPP11",1.39065646191391e-26,0.57698983188738,0.708,0.376,1.92925770961317e-22,"S","DCTPP1"
"RANBP12",7.085446049591e-26,0.490500085078946,0.995,0.958,9.82963930459759e-22,"S","RANBP1"
"TIPIN",2.24972832039091e-25,0.298671761859414,0.297,0.082,3.12104809887831e-21,"S","TIPIN"
"ZWINT2",9.91911246929836e-25,0.485663524309728,0.671,0.319,1.37607847286576e-20,"S","ZWINT"
"MAD2L12",1.23755175660988e-24,0.391688945742241,0.735,0.333,1.71685555194488e-20,"S","MAD2L1"
"ARL6IP61",6.80707451041732e-24,0.515368689231709,0.699,0.39,9.44345446830195e-20,"S","ARL6IP6"
"HAT11",8.63412098784443e-24,0.563793352582519,0.685,0.39,1.19781160464366e-19,"S","HAT1"
"UNG",1.90109210992853e-23,0.370880117097015,0.338,0.111,2.63738508410384e-19,"S","UNG"
"ESCO22",3.00738258604719e-22,0.402793903524096,0.447,0.176,4.17214186162326e-18,"S","ESCO2"
"BRCA21",3.4831846420034e-22,0.314210254155813,0.352,0.119,4.83222205385132e-18,"S","BRCA2"
"RNASEH2A1",3.48691844124923e-22,0.455398466658613,0.635,0.326,4.83740195354505e-18,"S","RNASEH2A"
"DEK2",8.15202150831702e-22,0.506955086137953,0.9,0.662,1.13092994384882e-17,"S","DEK"
"SRSF21",1.51732096414714e-21,0.545670505084429,0.881,0.691,2.10497937356132e-17,"S","SRSF2"
"SNRPD12",5.16277781869139e-21,0.447303889570164,0.968,0.876,7.16232166787056e-17,"S","SNRPD1"
"SIVA11",6.58724742376918e-21,0.538852308133972,0.863,0.644,9.13848835099499e-17,"S","SIVA1"
"RPA31",1.74516094647278e-20,0.509116851364436,0.699,0.415,2.42106178104168e-16,"S","RPA3"
"HNRNPF1",2.11645706635453e-20,0.50660025348545,0.826,0.591,2.93616088815364e-16,"S","HNRNPF"
"DHFR1",2.51193798104572e-20,0.443636459532329,0.562,0.281,3.48481156110472e-16,"S","DHFR"
"CDCA7L",3.14728421016904e-20,0.268337640369714,0.247,0.07,4.36622738476751e-16,"S","CDCA7L"
"TPM1",1.36833527209761e-19,0.50026507282318,0.995,0.96,1.89829152298102e-15,"S","TPM1"
"EIF4EBP11",2.90148354860003e-19,0.443224956007,0.822,0.525,4.02522812697282e-15,"S","EIF4EBP1"
"CENPM2",3.3947160438359e-19,0.378794351620458,0.53,0.246,4.70948956761355e-15,"S","CENPM"
"CENPV1",6.68426590170544e-19,0.511929583719304,0.744,0.505,9.27308208543595e-15,"S","CENPV"
"HSPB111",1.31458772707986e-18,0.450323871263332,0.717,0.456,1.82372755377789e-14,"S","HSPB11"
"RFC31",1.55933154340569e-18,0.32459752267444,0.311,0.111,2.16326065016672e-14,"S","RFC3"
"SNRPB2",2.30517661580784e-18,0.447767891453341,0.913,0.752,3.19797151911021e-14,"S","SNRPB"
"VRK12",3.1042015949532e-18,0.414188903848578,0.566,0.288,4.30645887267858e-14,"S","VRK1"
"BRCA11",3.2186286761626e-18,0.27433646136665,0.306,0.108,4.46520356244037e-14,"S","BRCA1"
"POLD31",3.38155708590637e-18,0.27623873392399,0.283,0.095,4.6912341452779e-14,"S","POLD3"
"RPA21",4.150236451571e-18,0.371688234563109,0.507,0.248,5.75762302926444e-14,"S","RPA2"
"HAUS81",7.34893716784839e-18,0.323897215258234,0.361,0.143,1.01951805329561e-13,"S","HAUS8"
"MSH2",8.76365824141702e-18,0.287909177163487,0.279,0.095,1.21578230783178e-13,"S","MSH2"
"FBXO52",1.001634012988e-17,0.383417741552021,0.429,0.191,1.38956686621826e-13,"S","FBXO5"
"H2AFZ3",1.17076828345721e-17,0.375212741850464,1,0.984,1.62420683964019e-13,"S","H2AFZ"
"MSH6",1.17684819160436e-17,0.270379256446961,0.283,0.097,1.63264149621273e-13,"S","MSH6"
"CTNNAL11",2.96702365054643e-17,0.413594192021976,0.603,0.335,4.11615191040307e-13,"S","CTNNAL1"
"ACAT21",3.63886547235804e-17,0.556953920885148,0.9,0.736,5.04819806980232e-13,"S","ACAT2"
"RFC51",5.7486605856837e-17,0.264339271688648,0.32,0.12,7.97511683051899e-13,"S","RFC5"
"EEF1E11",6.46598448229914e-17,0.40476929131555,0.667,0.411,8.9702602722936e-13,"S","EEF1E1"
"LMNB12",8.5578055346233e-17,0.326336028422263,0.521,0.257,1.18722436181829e-12,"S","LMNB1"
"MIS18A2",9.62784383687008e-17,0.355733791002647,0.502,0.248,1.33567077548899e-12,"S","MIS18A"
"CARHSP11",2.45329001407421e-16,0.454804031116257,0.826,0.592,3.40344923652515e-12,"S","CARHSP1"
"MCM4",2.92024475599382e-16,0.286463430973606,0.32,0.124,4.05125554999023e-12,"S","MCM4"
"TEX301",7.52298586068565e-16,0.35527987530698,0.543,0.291,1.04366382845292e-11,"S","TEX30"
"HSPA81",1.02461979880843e-15,0.423186848236752,0.991,0.949,1.42145504688693e-11,"S","HSPA8"
"ANKRD32",1.05140043311914e-15,0.289038566242388,0.352,0.146,1.45860782086619e-11,"S","ANKRD32"
"CDCA41",5.75584220734699e-15,0.346854589774246,0.562,0.31,7.98507989425248e-11,"S","CDCA4"
"PPIF",9.42279545658628e-15,0.335968165323157,0.411,0.197,1.30722441369221e-10,"S","PPIF"
"RAN2",2.03208269201418e-14,0.307397423945018,1,0.988,2.81910831863127e-10,"S","RAN"
"CCDC342",3.63621424000151e-14,0.348392843602092,0.626,0.37,5.0445200151541e-10,"S","CCDC34"
"TMEM97",8.47461605038169e-14,0.373719973331162,0.543,0.31,1.17568348466945e-09,"S","TMEM97"
"RAD51AP11",9.78337731513056e-14,0.261187806779309,0.288,0.115,1.35724793492806e-09,"S","RAD51AP1"
"MYL12A",1.47883856593688e-13,0.356914654285741,0.977,0.918,2.05159274252424e-09,"S","MYL12A"
"PHLDA21",1.81917250862886e-13,0.410476277726141,0.895,0.768,2.52373802122082e-09,"S","PHLDA2"
"RNASEH2B1",1.98482156250396e-13,0.321223281891819,0.457,0.243,2.75354295366175e-09,"S","RNASEH2B"
"FANCL",2.21763190069269e-13,0.263815779622574,0.32,0.139,3.07652073583097e-09,"S","FANCL"
"NOP58",2.35550434499787e-13,0.33384640569563,0.511,0.287,3.26779117781555e-09,"S","NOP58"
"CALD1",2.52945439179826e-13,0.381830790950707,0.982,0.971,3.50911207774173e-09,"S","CALD1"
"DERA1",5.0793336594063e-13,0.324148807889274,0.598,0.363,7.04655958569436e-09,"S","DERA"
"EXOSC9",5.64709127335881e-13,0.27672790594419,0.338,0.155,7.83420972353067e-09,"S","EXOSC9"
"ANP32B1",6.28407042333525e-13,0.354723673395231,0.813,0.589,8.717890898293e-09,"S","ANP32B"
"HAUS11",6.49200694439263e-13,0.340759042916343,0.703,0.47,9.0063612339559e-09,"S","HAUS1"
"MAGOHB1",7.78460865289628e-13,0.348924201586521,0.566,0.346,1.0799587584163e-08,"S","MAGOHB"
"RPL22L11",8.11399316319352e-13,0.405588271409769,0.808,0.602,1.12565427152984e-08,"S","RPL22L1"
"PA2G41",1.02771291277507e-12,0.385911417801382,0.826,0.629,1.42574612389286e-08,"S","PA2G4"
"C4orf26",1.1079916376982e-12,0.329835634380622,0.288,0.122,1.53711679897872e-08,"S","C4orf26"
"EIF2S11",1.2688470281966e-12,0.366713642754133,0.726,0.508,1.76027148221715e-08,"S","EIF2S1"
"PAICS1",1.34549557278582e-12,0.352864475092764,0.653,0.441,1.86660600812577e-08,"S","PAICS"
"HNRNPAB1",1.42772406929744e-12,0.358974062462945,0.671,0.439,1.98068160133633e-08,"S","HNRNPAB"
"MEST",1.48408952976256e-12,0.440306797835184,0.913,0.826,2.0588774046396e-08,"S","MEST"
"CENPK2",1.88679845039034e-12,0.276004830955431,0.42,0.212,2.61755549022652e-08,"S","CENPK"
"WDR341",2.07793569556477e-12,0.328602522648913,0.662,0.411,2.88272019045701e-08,"S","WDR34"
"DONSON1",2.3918293140229e-12,0.261839372518046,0.297,0.131,3.31818480734396e-08,"S","DONSON"
"NOP561",2.55622136857642e-12,0.330175936074827,0.498,0.288,3.54624590462607e-08,"S","NOP56"
"SMC22",3.00229407703023e-12,0.354423257349276,0.584,0.356,4.16508257306404e-08,"S","SMC2"
"RAD11",4.29729975058991e-12,0.268100471548994,0.416,0.215,5.96164394399338e-08,"S","RAD1"
"CMC22",4.52661131682286e-12,0.324410045862556,0.753,0.508,6.27976787982836e-08,"S","CMC2"
"CHEK1",5.45911601070329e-12,0.265063134612332,0.365,0.178,7.57343164164868e-08,"S","CHEK1"
"EIF1AX1",5.99937299617516e-12,0.366723334605285,0.845,0.674,8.3229301575938e-08,"S","EIF1AX"
"YWHAH1",6.49072224866847e-12,0.364453604684819,0.904,0.8,9.00457897557776e-08,"S","YWHAH"
"PARP11",9.38149543874537e-12,0.357391967096888,0.799,0.635,1.30149486221715e-07,"S","PARP1"
"RUSC11",1.27678408848196e-11,0.282428675191126,0.402,0.212,1.77128256595102e-07,"S","RUSC1"
"HES41",1.58864832048047e-11,0.322525392310467,0.53,0.314,2.20393181500256e-07,"S","HES4"
"FN3KRP1",1.72338860146097e-11,0.292938836517064,0.411,0.222,2.3908570068068e-07,"S","FN3KRP"
"PDLIM1",1.74582005706644e-11,0.362964797920076,0.763,0.571,2.42197616516828e-07,"S","PDLIM1"
"EXOSC82",1.89243640289416e-11,0.302086102719692,0.667,0.425,2.62537702173506e-07,"S","EXOSC8"
"MCMBP",2.47533960876224e-11,0.250311319930559,0.347,0.17,3.43403863923586e-07,"S","MCMBP"
"PDCD51",3.70290522670674e-11,0.335302392110482,0.877,0.763,5.13704042101026e-07,"S","PDCD5"
"NCL1",3.89395682470924e-11,0.346212288316748,0.904,0.807,5.40208630291913e-07,"S","NCL"
"AKAP121",4.58778763867099e-11,0.441600107215069,0.886,0.766,6.36463779112826e-07,"S","AKAP12"
"NASP1",5.55483866365783e-11,0.334011968357831,0.562,0.362,7.70622767809251e-07,"S","NASP"
"BID",6.52021442689262e-11,0.302743752202702,0.594,0.384,9.04549347442813e-07,"S","BID"
"STRA131",6.7519450485894e-11,0.364091114124979,0.708,0.51,9.36697336590808e-07,"S","STRA13"
"RRM11",7.05541132098358e-11,0.299980708800799,0.489,0.287,9.78797212560053e-07,"S","RRM1"
"TMPO2",8.71818225554526e-11,0.260919512641343,0.475,0.268,1.20947342431179e-06,"S","TMPO"
"C4orf27",9.65277956312724e-11,0.287270587673639,0.667,0.445,1.33913010879264e-06,"S","C4orf27"
"PNN",1.10032778529441e-10,0.281520381300781,0.589,0.374,1.52648473653893e-06,"S","PNN"
"SMC31",1.37281085848595e-10,0.316007520853946,0.68,0.466,1.90450050397755e-06,"S","SMC3"
"COPS31",1.38764878257761e-10,0.294618947765353,0.616,0.403,1.92508515606992e-06,"S","COPS3"
"MRPL141",1.40153450090181e-10,0.329300731896452,0.84,0.66,1.94434881310109e-06,"S","MRPL14"
"CEBPZ",1.81074686032967e-10,0.274300405129428,0.479,0.284,2.51204911933536e-06,"S","CEBPZ"
"TUBB2",2.0727471966415e-10,0.274420203614806,1,0.996,2.87552218590075e-06,"S","TUBB"
"TFDP11",2.18271330435894e-10,0.251923004376316,0.434,0.242,3.02807816713716e-06,"S","TFDP1"
"CACYBP1",2.74718856130492e-10,0.322955827337539,0.854,0.729,3.81117469109831e-06,"S","CACYBP"
"MANF1",2.83987575487266e-10,0.344332952042363,0.872,0.731,3.93975963473484e-06,"S","MANF"
"LIMS1",3.34286960753471e-10,0.351791185096904,0.858,0.763,4.6375630065329e-06,"S","LIMS1"
"POLR3K1",4.76195693700779e-10,0.275499627680481,0.429,0.246,6.6062628587109e-06,"S","POLR3K"
"HPRT11",5.0996488092237e-10,0.269496019153732,0.589,0.376,7.07474279303604e-06,"S","HPRT1"
"BTG31",6.30267752372521e-10,0.301207473546794,0.525,0.33,8.74370452866399e-06,"S","BTG3"
"SMCHD11",9.69558527340925e-10,0.271162526259321,0.438,0.259,1.34506854498007e-05,"S","SMCHD1"
"CKLF1",1.2282162486021e-09,0.312991090368788,0.594,0.421,1.70390440168569e-05,"S","CKLF"
"POP71",1.97490779561538e-09,0.303794136271937,0.557,0.365,2.73978958485722e-05,"S","POP7"
"TMEM70",4.50195471872045e-09,0.258188096800571,0.457,0.278,6.24556178128088e-05,"S","TMEM70"
"DKC1",4.53675888201636e-09,0.257571571796983,0.397,0.228,6.2938455970213e-05,"S","DKC1"
"CISD21",4.76656357466663e-09,0.296359125022223,0.781,0.6,6.61265364713502e-05,"S","CISD2"
"NXT11",1.25375788012257e-08,0.283410457610539,0.452,0.285,0.000173933830709404,"S","NXT1"
"SNRNP252",1.32590746550536e-08,0.265948609434073,0.699,0.509,0.000183943142689558,"S","SNRNP25"
"IER3IP1.11",1.41311395666192e-08,0.266671768732733,0.735,0.548,0.000196041299207708,"S","IER3IP1.1"
"LIMD2",1.65881280886098e-08,0.254467985145098,0.557,0.37,0.000230127100973284,"S","LIMD2"
"RAB8A1",1.68734712283818e-08,0.253186060758618,0.511,0.333,0.00023408566635134,"S","RAB8A"
"PRKDC1",2.89666554614601e-08,0.276158644596057,0.667,0.489,0.000401854411216836,"S","PRKDC"
"CDK41",3.2759347201594e-08,0.258283672730399,0.9,0.777,0.000454470423727713,"S","CDK4"
"ENOPH11",3.50508626047467e-08,0.263315313889556,0.621,0.441,0.000486260616915651,"S","ENOPH1"
"YEATS41",3.51218124303704e-08,0.275011864198084,0.425,0.268,0.000487244903846529,"S","YEATS4"
"PRSS231",3.52836616279019e-08,0.277475993321099,0.991,0.966,0.000489490237763883,"S","PRSS23"
"PSMG11",3.63967288812803e-08,0.258289857949079,0.493,0.323,0.000504931819770001,"S","PSMG1"
"BRIX11",3.79895537588621e-08,0.263952491627688,0.498,0.327,0.000527029079296694,"S","BRIX1"
"HSPD12",4.36926186835832e-08,0.27701484831531,0.968,0.891,0.00060614769899735,"S","HSPD1"
"SUPT16H1",8.38669866834313e-08,0.273738982296423,0.635,0.466,0.00116348670625924,"S","SUPT16H"
"ACTR3",1.0268762703733e-07,0.265297904196103,0.927,0.911,0.00142458544988888,"S","ACTR3"
"PPM1G1",1.04999127907476e-07,0.26666338389233,0.676,0.495,0.00145665290146041,"S","PPM1G"
"CCND1",1.60338219099182e-07,0.296246113014015,0.895,0.806,0.00222437211356295,"S","CCND1"
"NQO21",1.81524580980955e-07,0.26643560312534,0.438,0.284,0.00251829051194879,"S","NQO2"
"PLP21",1.82274488452183e-07,0.276281403123474,0.913,0.796,0.00252869397829713,"S","PLP2"
"MVD",1.87743628081713e-07,0.264110098009064,0.411,0.26,0.0026045673523776,"S","MVD"
"SAE12",2.04989386125208e-07,0.258918156865015,0.493,0.327,0.00284381775371502,"S","SAE1"
"TMX1",2.09119996296333e-07,0.281104141290872,0.708,0.557,0.00290112170861902,"S","TMX1"
"IGFBP31",2.25981797551416e-07,0.284230453440801,0.973,0.916,0.00313504547743079,"S","IGFBP3"
"U2AF11",2.43680768100081e-07,0.251430123468583,0.941,0.86,0.00338058329585243,"S","U2AF1"
"TOMM401",2.64389469460803e-07,0.25325355812253,0.534,0.371,0.00366787510982972,"S","TOMM40"
"MRPS26",2.76655034733518e-07,0.277415426853436,0.626,0.467,0.0038380352968581,"S","MRPS26"
"SNRPA12",3.17016374365365e-07,0.254946955186295,0.553,0.386,0.0043979681615707,"S","SNRPA1"
"RTKN22",3.44987451997063e-07,0.251292314442168,0.379,0.232,0.00478601092155526,"S","RTKN2"
"RFC1",3.58243958420552e-07,0.250173684842418,0.489,0.339,0.00496991843516832,"S","RFC1"
"GJB21",3.80075248494081e-07,0.381845289939341,0.571,0.417,0.00527278392235839,"S","GJB2"
"IMPDH2",3.852389991298e-07,0.25300509242015,0.703,0.542,0.00534442063492771,"S","IMPDH2"
"EIF5B",3.91058972265017e-07,0.283313176914376,0.831,0.734,0.00542516112223258,"S","EIF5B"
"PTPLA",4.38842881203718e-07,0.252376689095559,0.758,0.59,0.00608806729093918,"S","PTPLA"
"MRPL171",4.80599532308047e-07,0.261220249480552,0.553,0.387,0.00666735731170953,"S","MRPL17"
"PSIP11",8.39233884636962e-07,0.25902765339107,0.703,0.542,0.0116426916815686,"S","PSIP1"
"C20orf241",9.95441820174281e-07,0.251907344127759,0.708,0.544,0.0138097643712778,"S","C20orf24"
"LSM21",1.03482636605644e-06,0.258563155041636,0.758,0.618,0.014356146176301,"S","LSM2"
"TMEM178A",1.12534375604382e-06,0.270407001580319,0.575,0.425,0.0156118939275959,"S","TMEM178A"
"SNRPE1",1.15221206851884e-06,0.253630705598812,0.918,0.84,0.0159846380265619,"S","SNRPE"
"IDH21",1.34804743387256e-06,0.254585042265812,0.575,0.416,0.018701462050114,"S","IDH2"
"UFD1L",1.50726266354002e-06,0.274429931730806,0.726,0.575,0.0209102549312907,"S","UFD1L"
"C16orf80",2.41797752311816e-06,0.252027712616641,0.521,0.381,0.0335446021782182,"S","C16orf80"
"MYL91",3.1090170611631e-06,0.262618766592787,0.941,0.882,0.0431313936895157,"S","MYL9"
"CCT6A1",3.12412891738208e-06,0.261798136546516,0.9,0.789,0.0433410404708416,"S","CCT6A"
"ERGIC2",3.8101209838666e-06,0.266011352571432,0.744,0.633,0.0528578084091814,"S","ERGIC2"
"CNN1",4.27289996024726e-06,0.251519219844154,0.279,0.162,0.0592779411485102,"S","CNN1"
"PLAU1",1.98320694156507e-05,0.331033784071034,0.598,0.461,0.275130299003323,"S","PLAU"
"MRPL23",2.20062107394292e-05,0.251312193691402,0.772,0.656,0.305292161588102,"S","MRPL23"
"TAGLN1",2.26141130622973e-05,0.250925385181218,0.959,0.949,0.31372559051325,"S","TAGLN"
"CCL21",2.94309387544847e-05,0.526411434141461,0.301,0.188,0.408295413340966,"S","CCL2"
"ACTB",3.44666673024177e-27,0.806916425863088,1,1,4.78156075486441e-23,"G1/other","ACTB"
"RPL12",2.3625640419592e-25,0.737918358799874,1,1,3.27758509540999e-21,"G1/other","RPL12"
"RPL21",1.17025867053052e-24,0.780081790062243,1,1,1.623499853627e-20,"G1/other","RPL21"
"RPL41",1.34379102467718e-23,0.692564444631279,1,1,1.86424128853465e-19,"G1/other","RPL41"
"RPL31",2.47314307933304e-20,0.69308485430315,1,1,3.43099139395873e-16,"G1/other","RPL31"
"RPLP2",1.27728011911642e-19,0.619217673899825,1,1,1.77197070925022e-15,"G1/other","RPLP2"
"YBX1",1.68114005079933e-19,0.653161462119924,1,1,2.3322455924739e-15,"G1/other","YBX1"
"RPL36",2.85115750204904e-19,0.583689930954253,1,1,3.95541080259264e-15,"G1/other","RPL36"
"RPL26",2.96912806555121e-19,0.561764721158997,1,1,4.11907136533919e-15,"G1/other","RPL26"
"RPS24",2.28144860938566e-18,0.657480541281165,1,1,3.16505365580073e-14,"G1/other","RPS24"
"S100A10",1.66120821961021e-17,0.846064922617023,1,0.997,2.30459416306524e-13,"G1/other","S100A10"
"TMSB10",2.60213357515408e-17,0.454171671824054,1,1,3.60993990881126e-13,"G1/other","TMSB10"
"RPL32",2.66262131255673e-17,0.556733755121877,1,1,3.69385454690995e-13,"G1/other","RPL32"
"RPS27A",6.71837819783189e-17,0.540963595922833,1,0.999,9.32040607385218e-13,"G1/other","RPS27A"
"RPS6",8.248567445338e-17,0.532539652919827,1,1,1.14432376169174e-12,"G1/other","RPS6"
"RPS2",1.66826853570696e-16,0.640263113549694,1,1,2.31438893958627e-12,"G1/other","RPS2"
"RPL27A",3.77157897955264e-16,0.559666362730161,1,1,5.23231151833338e-12,"G1/other","RPL27A"
"RPS13",4.00088783526241e-16,0.52943493825227,1,1,5.55043169385955e-12,"G1/other","RPS13"
"RPL11",5.82413693824379e-16,0.445820952767992,1,1,8.07982517442561e-12,"G1/other","RPL11"
"RPL37A",8.43162955416957e-16,0.542936458676901,1,1,1.16971996804994e-11,"G1/other","RPL37A"
"RPS15",1.13838047141585e-15,0.471199030373306,1,1,1.5792752279952e-11,"G1/other","RPS15"
"RPLP1",2.20441914671085e-15,0.58851096190611,1,1,3.05819068223196e-11,"G1/other","RPLP1"
"RPS18",2.84519856876149e-15,0.484744712904895,1,1,3.94714397444282e-11,"G1/other","RPS18"
"RPL9",2.99402885136883e-15,0.55129721139065,1,1,4.15361622550398e-11,"G1/other","RPL9"
"RPL13A",1.15125390684858e-14,0.506237857731615,1,1,1.59713454497104e-10,"G1/other","RPL13A"
"S100A11",1.19502187094884e-14,0.704690861759897,1,0.999,1.65785384156733e-10,"G1/other","S100A11"
"RPS15A",2.44723398094365e-14,0.544279624910968,1,1,3.39504770176312e-10,"G1/other","RPS15A"
"RPL18A",2.9084042787736e-14,0.509230971060582,1,1,4.03482925594261e-10,"G1/other","RPL18A"
"RPS28",8.75546727834747e-14,0.586071836056908,1,0.999,1.21464597552514e-09,"G1/other","RPS28"
"RPS12",2.70244385392206e-13,0.556654639588489,1,1,3.74910035854607e-09,"G1/other","RPS12"
"RPS3A",5.31825485096154e-13,0.489477623308855,1,1,7.37801495473894e-09,"G1/other","RPS3A"
"RPL35",1.65981913246686e-12,0.42699828659577,1,1,2.30266708247127e-08,"G1/other","RPL35"
"RPL22",2.1516767772828e-12,0.587009573164189,1,0.995,2.98502119312443e-08,"G1/other","RPL22"
"GAPDH",4.55405087385264e-12,0.516369131980951,1,1,6.31783477729577e-08,"G1/other","GAPDH"
"RPL30",4.58217650437482e-12,0.593317912139832,1,0.999,6.35685346451919e-08,"G1/other","RPL30"
"RPL3",1.01807815333835e-11,0.402739326618453,1,1,1.41237982212629e-07,"G1/other","RPL3"
"RPS23",1.68688081735138e-11,0.484188348986094,1,1,2.34020975791157e-07,"G1/other","RPS23"
"SNRPD2",1.9479888943002e-11,0.550778985224847,1,0.985,2.70244499306266e-07,"G1/other","SNRPD2"
"RPL14",2.3238373926572e-11,0.52154457876346,1,1,3.22385961483334e-07,"G1/other","RPL14"
"RPL13",2.55011767993129e-11,0.341746083776239,1,1,3.53777825736868e-07,"G1/other","RPL13"
"OST41",5.34041442161144e-11,0.589897595506754,1,0.996,7.40875692710155e-07,"G1/other","OST4"
"RPS21",6.33239483878547e-11,0.553888704613397,1,0.957,8.78493135984708e-07,"G1/other","RPS21"
"RPL7",7.26605040155795e-11,0.397668534770123,1,1,1.00801917220813e-06,"G1/other","RPL7"
"RPL6",8.50154906981730e-11,0.372436217302294,1,1,1.17941990245575e-06,"G1/other","RPL6"
"COMMD6",1.58126848497123e-10,0.546069764856069,1,0.969,2.19369376920059e-06,"G1/other","COMMD6"
"SH3BGRL3",2.14620500572443e-10,0.448637860057773,1,0.997,2.9774302044415e-06,"G1/other","SH3BGRL3"
"MYL92",2.72376522511029e-10,0.728415064259099,0.986,0.884,3.77867949679551e-06,"G1/other","MYL9"
"RPS25",3.06155736753372e-10,0.464779664503387,1,1,4.24729853597953e-06,"G1/other","RPS25"
"SERF2",3.30581092431656e-10,0.375999554089306,1,1,4.58615149530436e-06,"G1/other","SERF2"
"RPS5",4.33866198192644e-10,0.415548640665215,1,0.999,6.01902576752655e-06,"G1/other","RPS5"
"UBA52",4.54278317560724e-10,0.480347493821932,1,1,6.30220309951992e-06,"G1/other","UBA52"
"RPL28",6.70535480266037e-10,0.430453242981688,1,1,9.30233871773073e-06,"G1/other","RPL28"
"RPL8",7.03678834540018e-10,0.415741213362607,1,1,9.76213647157367e-06,"G1/other","RPL8"
"RPS9",7.11559736442016e-10,0.460743795800717,1,1,9.87146822366009e-06,"G1/other","RPS9"
"RPS19",8.48671699188225e-10,0.399571369644434,1,1,1.17736224828382e-05,"G1/other","RPS19"
"RPL35A",1.46567722699137e-09,0.391388882687401,1,1,2.03333401700513e-05,"G1/other","RPL35A"
"RPL5",1.48151250984357e-09,0.425508866860218,1,0.998,2.05530230490599e-05,"G1/other","RPL5"
"TAGLN2",1.78483412752102e-09,0.749028703860949,1,0.948,2.47610038510991e-05,"G1/other","TAGLN"
"ATP5E",2.34607757740193e-09,0.4034097252265,1,1,3.2547134231297e-05,"G1/other","ATP5E"
"RPL27",2.51522948730589e-09,0.400745714621391,1,1,3.48937786773947e-05,"G1/other","RPL27"
"RPL23A",2.64972867313095e-09,0.459745117955987,1,1,3.67596858823457e-05,"G1/other","RPL23A"
"UQCR11.1",3.22551413749131e-09,0.510056337157316,1,0.989,4.47475576294169e-05,"G1/other","UQCR11.1"
"RPL24",4.54042308987554e-09,0.358102036040319,1,1,6.29892895258434e-05,"G1/other","RPL24"
