"","Phase","recat"
"1325","G1","G1"
"1326","G2M","M"
"1327","G1","G1"
"1328","G1","G1"
"1329","S","G1S"
"1330","S","G1"
"1331","S","S"
"1332","S","G1"
"1333","G1","G1"
"1334","G2M","M"
"1335","G1","G1"
"1336","G1","G1"
"1337","G1","G1"
"1338","G1","G1"
"1339","G1","G1"
"1340","G2M","M"
"1341","G2M","M"
"1342","G1","G1"
"1343","G1","G1"
"1344","S","G1S"
"1345","G2M","G1S"
"1346","G1","G1"
"1347","G1","G1"
"1348","S","G1"
"1349","G1","G1"
"1350","G1","G1"
"1351","G2M","S"
"1352","G1","G1"
"1353","G2M","G1S"
"1354","G1","G1"
"1355","S","G1"
"1356","G1","G1"
"1357","G2M","M"
"1358","G1","G1"
"1359","G1","G1"
"1360","G2M","G1"
"1361","S","G1"
"1362","G1","G1"
