"","x"
"1214","G1/G0"
"1215","G2/M"
"1216","G2/M"
"1217","S"
"1218","G1/G0"
"1219","S"
"1220","G1/G0"
"1221","G1/G0"
"1222","S"
"1223","M"
"1224","G1/G0"
"1225","G1/G0"
"1226","S"
"1227","G1/G0"
"1228","S"
"1229","G1/G0"
"1230","G1/G0"
"1231","S"
"1232","S"
"1233","G2/M"
"1234","G1/G0"
"1235","G1/G0"
"1236","S"
"1237","G1/G0"
"1238","G1/G0"
"1239","G1/G0"
"1240","G1/G0"
"1241","S"
"1242","G2/M"
"1243","S"
"1244","G2/M"
"1245","S"
"1246","G1/G0"
"1247","S"
"1248","G2/M"
"1249","S"
"1250","S"
"1251","G1/G0"
"1252","G1/G0"
"1253","G1/G0"
"1254","G1/G0"
"1255","G1/G0"
"1256","S"
"1257","G1/G0"
"1258","G1/G0"
"1259","G2/M"
"1260","S"
"1261","G2/M"
"1262","G2/M"
"1263","S"
"1264","G1/G0"
"1265","M"
"1266","S"
"1267","G1/G0"
"1268","G2/M"
"1269","G1/G0"
"1270","G1/G0"
"1271","S"
"1272","G2/M"
"1273","G2/M"
"1274","M"
"1275","S"
"1276","G1/G0"
"1277","G1/G0"
"1278","S"
"1279","S"
"1280","S"
"1281","M"
"1282","S"
"1283","G1/G0"
"1284","S"
"1285","S"
"1286","S"
"1287","S"
"1288","G1/G0"
"1289","G1/G0"
"1290","S"
"1291","G1/G0"
"1292","S"
"1293","G1/G0"
"1294","S"
"1295","G2/M"
"1296","G1/G0"
"1297","G1/G0"
"1298","G1/G0"
"1299","S"
"1300","G2/M"
"1301","G1/G0"
"1302","G2/M"
"1303","G1/G0"
"1304","G2/M"
"1305","G2/M"
"1306","G1/G0"
"1307","G1/G0"
"1308","G2/M"
"1309","S"
"1310","G1/G0"
"1311","G1/G0"
"1312","G1/G0"
"1313","G1/G0"
"1314","G1/G0"
"1315","G1/G0"
"1316","G1/G0"
"1317","S"
"1318","G1/G0"
"1319","G1/G0"
"1320","S"
"1321","G1/G0"
"1322","G1/G0"
"1323","G2/M"
"1324","G2/M"
"1325","G2/M"
"1326","S"
"1327","G1/G0"
"1328","G1/G0"
"1329","G2/M"
"1330","G1/G0"
"1331","G1/G0"
"1332","G1/G0"
"1333","G1/G0"
"1334","M"
"1335","G1/G0"
"1336","S"
"1337","G1/G0"
"1338","G2/M"
"1339","S"
"1340","M"
"1341","G1/G0"
"1342","G1/G0"
"1343","G2/M"
"1344","S"
"1345","M"
"1346","G1/G0"
"1347","G1/G0"
"1348","G1/G0"
"1349","G2/M"
"1350","G2/M"
"1351","S"
"1352","G2/M"
"1353","G2/M"
"1354","M"
"1355","S"
"1356","S"
"1357","S"
"1358","G1/G0"
"1359","S"
"1360","M"
"1361","S"
"1362","G2/M"
"1363","G2/M"
"1364","G1/G0"
"1365","G1/G0"
"1366","S"
"1367","S"
"1368","S"
"1369","G1/G0"
"1370","M"
"1371","G1/G0"
"1372","S"
"1373","G2/M"
"1374","S"
"1375","G2/M"
"1376","S"
"1377","S"
"1378","S"
"1379","S"
"1380","M"
"1381","G1/G0"
"1382","M"
"1383","S"
"1384","G1/G0"
"1385","G1/G0"
"1386","G1/G0"
"1387","S"
"1388","S"
"1389","G1/G0"
"1390","S"
"1391","G1/G0"
"1392","G1/G0"
"1393","S"
"1394","S"
"1395","M"
"1396","G1/G0"
"1397","S"
"1398","G1/G0"
"1399","G1/G0"
"1400","G2/M"
"1401","S"
"1402","S"
"1403","S"
"1404","G2/M"
"1405","G2/M"
"1406","G1/G0"
"1407","G2/M"
"1408","G1/G0"
"1409","S"
"1410","S"
"1411","G1/G0"
"1412","G1/G0"
"1413","S"
"1414","S"
"1415","G2/M"
"1416","G1/G0"
"1417","G2/M"
"1418","G1/G0"
"1419","S"
"1420","S"
"1421","G1/G0"
"1422","S"
"1423","G1/G0"
"1424","G2/M"
"1425","G1/G0"
"1426","G1/G0"
"1427","S"
"1428","M"
"1429","G1/G0"
"1430","S"
"1431","G2/M"
"1432","G1/G0"
"1433","G2/M"
"1434","G1/G0"
"1435","M"
"1436","G2/M"
"1437","G1/G0"
"1438","S"
"1439","G1/G0"
"1440","G1/G0"
"1441","S"
"1442","S"
"1443","M"
"1444","G1/G0"
"1445","G1/G0"
"1446","S"
"1447","G1/G0"
"1448","G2/M"
"1449","G1/G0"
"1450","S"
"1451","S"
"1452","G1/G0"
"1453","G2/M"
"1454","G1/G0"
"1455","G1/G0"
"1456","G1/G0"
"1457","G1/G0"
"1458","S"
"1459","G1/G0"
"1460","G1/G0"
"1461","G1/G0"
"1462","G2/M"
"1463","M"
"1464","M"
"1465","G1/G0"
"1466","G1/G0"
"1467","S"
"1468","S"
"1469","S"
"1470","S"
"1471","S"
"1472","G1/G0"
"1473","G2/M"
"1474","S"
"1475","G1/G0"
"1476","S"
"1477","G1/G0"
"1478","M"
"1479","S"
"1480","S"
"1481","G2/M"
"1482","S"
"1483","G1/G0"
"1484","G1/G0"
"1485","G1/G0"
"1486","G1/G0"
"1487","S"
"1488","G2/M"
"1489","M"
"1490","G1/G0"
"1491","S"
"1492","M"
"1493","S"
"1494","G1/G0"
"1495","G1/G0"
"1496","S"
"1497","S"
"1498","G2/M"
"1499","G1/G0"
"1500","S"
"1501","G1/G0"
"1502","S"
"1503","G2/M"
"1504","G2/M"
"1505","G1/G0"
"1506","G1/G0"
"1507","S"
"1508","M"
"1509","S"
"1510","G2/M"
"1511","G1/G0"
"1512","G2/M"
"1513","G1/G0"
"1514","S"
"1515","G1/G0"
"1516","G1/G0"
"1517","S"
"1518","G1/G0"
"1519","G2/M"
"1520","G1/G0"
"1521","M"
"1522","M"
"1523","G2/M"
"1524","S"
"1525","G2/M"
"1526","G1/G0"
"1527","G2/M"
"1528","G1/G0"
"1529","G1/G0"
"1530","S"
