"","Phase","recat"
"1117","G1","G1"
"1118","G2M","M"
"1119","G2M","M"
"1120","G1","G1"
"1121","G1","G1"
"1122","S","G1"
"1123","G1","G1"
"1124","G1","G1"
"1125","G1","G1"
"1126","G1","G1"
"1127","S","G1"
"1128","G1","G1"
"1129","G2M","M"
"1130","G1","G1"
"1131","G1","G1"
"1132","S","G1"
"1133","G2M","G2M"
"1134","G1","G1"
"1135","G1","G1"
"1136","S","G1"
"1137","G1","G1"
"1138","G1","G1"
"1139","S","G1"
"1140","S","M"
"1141","G1","G1"
"1142","G1","G1"
"1143","G2M","G1"
"1144","G1","G1"
"1145","S","S"
"1146","G1","G1"
"1147","G1","G1"
"1148","S","G1"
"1149","G1","G1"
"1150","S","S"
"1151","G1","G1"
"1152","G2M","G2"
"1153","S","G1"
"1154","G1","G1"
"1155","G2M","M"
"1156","G2M","M"
"1157","S","G1"
"1158","G1","G1"
"1159","G2M","M"
"1160","G1","G1"
"1161","G2M","M"
"1162","S","G1"
"1163","G1","G1"
"1164","S","G1"
"1165","S","G1S"
"1166","G1","G1"
"1167","G2M","M"
"1168","G1","G1"
"1169","G2M","M"
"1170","G1","G1"
"1171","S","G1S"
"1172","S","G1"
"1173","G1","G1"
"1174","G1","G1"
"1175","G2M","M"
"1176","S","M"
"1177","G1","G1"
"1178","G2M","G2M"
"1179","G1","G1"
"1180","G2M","G1"
"1181","G1","G1"
"1182","G2M","M"
"1183","G2M","M"
"1184","S","G1S"
"1185","G2M","M"
"1186","G2M","G1"
"1187","S","G2"
"1188","G2M","M"
"1189","G1","G1"
"1190","S","G1"
"1191","G2M","G2M"
"1192","G1","G1"
"1193","G1","G1"
"1194","S","G1S"
"1195","G1","G1"
"1196","G2M","M"
"1197","G1","G1"
"1198","S","G1"
"1199","G1","G1"
"1200","S","G1S"
"1201","S","G1S"
"1202","S","G1"
"1203","S","G1"
"1204","G2M","M"
"1205","S","G1"
"1206","S","S"
"1207","S","G1"
"1208","G1","G1"
"1209","G1","G1"
"1210","G1","G1"
"1211","G2M","M"
"1212","G1","M"
"1213","S","G1"
"1214","G1","G1"
"1215","G2M","M"
"1216","G1","G1"
"1217","G1","G1"
"1218","G1","G1"
"1219","S","G1"
"1220","G1","G1"
"1221","G1","G1"
"1222","G2M","G2"
"1223","G1","G1"
"1224","G1","G1"
"1225","S","G1"
"1226","G1","G1"
"1227","G1","G1"
"1228","G1","G1"
"1229","G2M","M"
"1230","G2M","M"
"1231","G1","G1"
"1232","G1","G1"
"1233","G1","G1"
"1234","G2M","M"
"1235","G2M","M"
"1236","G1","G1"
"1237","G2M","G2M"
"1238","G2M","G2M"
"1239","G1","G1"
"1240","S","G1"
"1241","S","G1"
"1242","G1","G1"
"1243","G1","G1"
"1244","G1","G1"
"1245","G1","G1"
"1246","G1","G1"
"1247","S","G1"
"1248","G1","G1"
"1249","S","G1"
"1250","G1","G1"
"1251","G1","G1"
"1252","G1","G1"
"1253","G2M","G2M"
"1254","G1","G1"
"1255","G2M","M"
"1256","G1","G1"
"1257","S","G1"
"1258","G1","G1"
"1259","G2M","M"
"1260","S","G1"
"1261","G1","G1"
"1262","G1","G1"
"1263","G1","G1"
"1264","G1","G1"
"1265","G1","G1"
"1266","G2M","M"
"1267","S","G1"
"1268","G2M","M"
"1269","G1","G1"
"1270","G1","G1"
"1271","G1","G1"
"1272","G1","G1"
"1273","G1","G1"
"1274","G1","G1"
"1275","G1","G1"
"1276","G1","G1"
"1277","S","G1"
"1278","G1","G1"
"1279","G2M","G2"
"1280","S","G1"
"1281","G2M","M"
"1282","G2M","M"
"1283","G1","G1"
"1284","G1","G1"
"1285","G1","G1"
"1286","S","G2M"
"1287","S","G1"
"1288","G1","G1"
"1289","G1","G1"
"1290","S","G1"
"1291","S","G1"
"1292","G2M","M"
"1293","G2M","M"
"1294","G2M","G1"
"1295","G2M","M"
"1296","G2M","M"
"1297","G1","G1"
"1298","G2M","G2M"
"1299","G1","G1"
"1300","G1","G1"
"1301","G1","G1"
"1302","S","G1"
"1303","S","G1"
"1304","G1","G1"
"1305","S","G1"
"1306","G1","G1"
"1307","G2M","M"
"1308","G1","G1"
"1309","G2M","M"
"1310","S","G1"
"1311","G1","G1"
"1312","G2M","G1"
"1313","G1","G1"
"1314","G1","G1"
"1315","G1","G1"
"1316","G1","G1"
"1317","G1","G1"
"1318","G1","G1"
"1319","G2M","G2M"
"1320","G1","G1"
"1321","G2M","G2M"
"1322","G1","G1"
"1323","S","G1"
"1324","S","S"
"1325","G1","G1"
"1326","S","G1"
"1327","G1","G1"
"1328","G2M","M"
"1329","G1","G1"
"1330","G1","G1"
"1331","G1","G1"
"1332","G2M","S"
"1333","S","G1"
"1334","S","G1"
"1335","G1","G1"
"1336","G1","G1"
"1337","G1","G1"
"1338","G2M","G1"
"1339","S","G1"
"1340","S","G1"
"1341","G1","G1"
"1342","G2M","M"
"1343","G2M","M"
"1344","G2M","M"
"1345","S","G2"
"1346","G1","G1"
"1347","G1","G1"
"1348","G1","G1"
"1349","G2M","M"
"1350","S","G1"
"1351","G1","G1"
"1352","S","G1"
"1353","S","G1S"
"1354","S","G1"
"1355","G1","G1"
"1356","G1","G1"
"1357","G2M","M"
"1358","S","G1"
"1359","S","G1"
"1360","G2M","M"
"1361","G1","G1"
"1362","G1","G1"
"1363","G1","G1"
"1364","S","G1"
"1365","G1","G1"
"1366","G2M","M"
"1367","S","G1"
"1368","G2M","M"
